S.No,Date,DOW,Order Time,Order ID,Order KOT,Food Court,SiteName,VendorName,ItemName,Item Customization,Tax Category,Price,Customization Price,Quantity,ItemTotal,Discount,Tax,Final Price,Packing Charge,GST on Packing Charge,Status,OrderType,Delivery Charge,Payment Details,Order Platform
3276,15-06-2023,Thursday,2:51:00 PM,#2528434,5571,iit - madras,IIT - Madras,Hotel Ananda,Chilli Mushroom  (300gms),"Gravy , ",NON_MRP,113,0,1,113,0,5.65,118.65,0,0,YES,DINE_IN,0,"upi : 197.4,",APP
3277,15-06-2023,Thursday,2:51:00 PM,#2528434,5571,iit - madras,IIT - Madras,Hotel Ananda,Plain Roti (60gms),,NON_MRP,25,0,3,75,0,3.75,78.75,0,,YES,DINE_IN,0,,APP
3278,15-06-2023,Thursday,3:25:00 PM,#2528719,7815,iit - madras,IIT - Madras,Hotel Ananda,Schezwan Paneer Fried Rice (400gms),,NON_MRP,141,0,1,141,0,7.05,148.05,0,0,YES,DINE_IN,0,"upi : 382.05,",APP
3279,15-06-2023,Thursday,3:27:12 PM,#2528733,6994,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"GPAY : 221.5,",POS
3280,15-06-2023,Thursday,3:27:12 PM,#2528733,6994,iit - madras,IIT - Madras,Hotel Ananda,Paneer Butter Masala (350gms),,NON_MRP,137,0,1,137,0,6.85,143.85,0,,YES,DINE_IN,0,,POS
3281,15-06-2023,Thursday,3:41:00 PM,#2529442,8153,iit - madras,IIT - Madras,Hotel Ananda,Chapathi 2 Pcs (51gms(each),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 142.8,",APP
3282,15-06-2023,Thursday,3:41:00 PM,#2529442,8153,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,1,25,0,1.25,26.25,0,,YES,DINE_IN,0,,APP
3283,15-06-2023,Thursday,3:48:28 PM,#2529601,5693,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"CASH : 55.65,",POS
3284,15-06-2023,Thursday,3:53:27 PM,#2529789,4533,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"PAYTM : 81.65,",POS
3285,15-06-2023,Thursday,4:18:00 PM,#2530422,6824,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,1,25,0,1.25,26.25,0,0,YES,DINE_IN,0,"upi : 116.78,",APP
3286,15-06-2023,Thursday,4:18:00 PM,#2530422,6824,iit - madras,IIT - Madras,Hotel Ananda,Chapathi 2 Pcs (51gms(each),,NON_MRP,51,0,1,51,0,2.55,53.55,0,,YES,DINE_IN,0,,APP
3287,15-06-2023,Thursday,4:43:10 PM,#2531431,2738,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"PHONEPE : 55.65,",POS
3288,15-06-2023,Thursday,5:35:30 PM,#2532271,7877,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,2,44,0,2.2,46.2,0,0,YES,DINE_IN,0,"PAYTM : 46.2,",POS
3289,15-06-2023,Thursday,6:04:00 PM,#2532771,1811,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,1,22,0,1.1,23.1,0,0,YES,DINE_IN,0,"upi : 116.1,",APP
3290,15-06-2023,Thursday,7:09:00 PM,#2533343,4227,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,5,0,YES,DELIVERY,11.8,"upi : 164.3,",APP
3291,15-06-2023,Thursday,7:20:00 PM,#2533390,8786,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"upi : 55.65,",APP
3292,15-06-2023,Thursday,7:32:00 PM,#2533439,4555,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"upi : 113.69,",APP
3293,15-06-2023,Thursday,7:36:35 PM,#2533464,2632,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"PHONEPE : 56.7,",POS
3294,15-06-2023,Thursday,7:41:00 PM,#2533479,5619,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 85.05,",APP
3295,15-06-2023,Thursday,7:50:00 PM,#2533516,8223,iit - madras,IIT - Madras,Hotel Ananda,Jeera Rice (400gms),,NON_MRP,107,0,1,107,0,5.35,112.35,0,0,YES,DINE_IN,0,"upi : 112.35,",APP
3296,15-06-2023,Thursday,7:53:00 PM,#2533530,2892,iit - madras,IIT - Madras,Hotel Ananda,Mix Veg Fried  Rice 400gms	,,NON_MRP,120,0,1,120,0,6,126,5,0,YES,DELIVERY,11.8,"upi : 304.05,",APP
3297,15-06-2023,Thursday,7:56:00 PM,#2533541,6835,iit - madras,IIT - Madras,Hotel Ananda,Plain Naan (80gms),,NON_MRP,25,0,3,75,0,3.75,78.75,0,0,YES,DINE_IN,0,"upi : 222.6,",APP
3298,15-06-2023,Thursday,7:56:00 PM,#2533541,6835,iit - madras,IIT - Madras,Hotel Ananda,Paneer Butter Masala (350gms),,NON_MRP,137,0,1,137,0,6.85,143.85,0,,YES,DINE_IN,0,,APP
3299,15-06-2023,Thursday,7:58:00 PM,#2533545,9617,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,5,0,YES,DELIVERY,11.8,"upi : 223.2,",APP
3300,15-06-2023,Thursday,7:58:30 PM,#2533546,5606,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"CASH : 71.4,",POS
3301,15-06-2023,Thursday,8:00:50 PM,#2533553,2229,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"GPAY : 56.7,",POS
3302,15-06-2023,Thursday,8:01:00 PM,#2533556,3826,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,10,0.01,YES,PICK_UP,0,"upi : 308.5,",APP
3303,15-06-2023,Thursday,8:01:00 PM,#2533556,3826,iit - madras,IIT - Madras,Hotel Ananda,Gobi Manchurian Dry (300gms),,NON_MRP,117,0,1,117,0,5.85,122.85,0,,YES,PICK_UP,0,,APP
3304,15-06-2023,Thursday,8:01:00 PM,#2533557,8479,iit - madras,IIT - Madras,Hotel Ananda,Plain Naan (80gms),,NON_MRP,25,0,3,75,0,3.75,78.75,0,0,YES,DINE_IN,0,"upi : 187.75,",APP
3305,15-06-2023,Thursday,8:01:00 PM,#2533558,8404,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,2,44,0,2.2,46.2,0,0,YES,DINE_IN,0,"upi : 46.2,",APP
3306,15-06-2023,Thursday,8:02:34 PM,#2533563,4155,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,1,22,0,1.1,23.1,0,0,YES,DINE_IN,0,"GPAY : 23.1,",POS
3307,15-06-2023,Thursday,8:04:00 PM,#2533575,8215,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,2,108,0,5.4,113.4,0,0,YES,DINE_IN,0,"upi : 113.4,",APP
3308,15-06-2023,Thursday,8:08:00 PM,#2533590,3426,iit - madras,IIT - Madras,Hotel Ananda,Schezwan Paneer Fried Rice (400gms),,NON_MRP,141,0,1,141,0,7.05,148.05,0,0,YES,DINE_IN,0,"upi : 412.05,",APP
3309,15-06-2023,Thursday,8:08:27 PM,#2533589,4437,iit - madras,IIT - Madras,Hotel Ananda,Gobi Masala Dosai (180gms),,NON_MRP,76,0,1,76,0,3.8,79.8,0,0,YES,DINE_IN,0,"CASH : 136.5,",POS
3310,15-06-2023,Thursday,8:08:27 PM,#2533589,4437,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,,YES,DINE_IN,0,,POS
3311,15-06-2023,Thursday,8:09:00 PM,#2533592,6211,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 69.3,",APP
3312,15-06-2023,Thursday,8:11:02 PM,#2533601,3884,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"CASH : 107.1,",POS
3313,15-06-2023,Thursday,8:11:02 PM,#2533601,3884,iit - madras,IIT - Madras,Hotel Ananda,Chapathi 2 Pcs (51gms(each),,NON_MRP,51,0,1,51,0,2.55,53.55,0,,YES,DINE_IN,0,,POS
3314,15-06-2023,Thursday,8:12:03 PM,#2533603,9960,iit - madras,IIT - Madras,Hotel Ananda,Gobi Masala Dosai (180gms),,NON_MRP,76,0,1,76,0,3.8,79.8,0,0,YES,DINE_IN,0,"GPAY : 79.8,",POS
3315,15-06-2023,Thursday,8:16:00 PM,#2533747,7627,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,1,25,0,1.25,26.25,0,0,YES,DINE_IN,0,"upi : 139.65,",APP
3316,15-06-2023,Thursday,8:16:00 PM,#2533747,7627,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,2,108,0,5.4,113.4,0,,YES,DINE_IN,0,,APP
3317,15-06-2023,Thursday,8:16:25 PM,#2533746,6055,iit - madras,IIT - Madras,Hotel Ananda,Parotta 2 Pcs (70gms each),,NON_MRP,53,0,1,53,0,2.65,55.65,0,0,YES,DINE_IN,0,"CASH : 107.65,",POS
3318,15-06-2023,Thursday,8:22:00 PM,#2533770,2450,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,2,44,0,2.2,46.2,0,0,YES,DINE_IN,0,"upi : 237.6,",APP
3319,15-06-2023,Thursday,8:22:00 PM,#2533770,2450,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,2,108,0,5.4,113.4,0,,YES,DINE_IN,0,,APP
3320,15-06-2023,Thursday,8:25:00 PM,#2533781,4561,iit - madras,IIT - Madras,Hotel Ananda,Chilli Parotta (300gms),,NON_MRP,75,0,1,75,0,3.75,78.75,5,0,YES,DELIVERY,11.8,"upi : 95.8,",APP
3321,15-06-2023,Thursday,8:26:18 PM,#2533783,2227,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,2,108,0,5.4,113.4,0,0,YES,DINE_IN,0,"PAYTM : 145.39,",POS
3322,15-06-2023,Thursday,8:28:28 PM,#2533791,5695,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"GPAY : 82.95,",POS
3323,15-06-2023,Thursday,8:28:28 PM,#2533791,5695,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,1,25,0,1.25,26.25,0,,YES,DINE_IN,0,,POS
3324,15-06-2023,Thursday,8:29:00 PM,#2533793,4493,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,2,102,0,5.1,107.1,0,0,YES,DINE_IN,0,"upi : 262.5,",APP
3325,15-06-2023,Thursday,8:32:00 PM,#2533804,8910,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"upi : 56.7,",APP
3326,15-06-2023,Thursday,8:33:00 PM,#2533808,9730,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,20,0.01,YES,DELIVERY,11.8,"upi : 394.9,",APP
3327,15-06-2023,Thursday,8:33:00 PM,#2533808,9730,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,1,22,0,1.1,23.1,0,,YES,DELIVERY,0,,APP
3328,15-06-2023,Thursday,8:33:00 PM,#2533808,9730,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,2,50,0,2.5,52.5,0,,YES,DELIVERY,0,,APP
3329,15-06-2023,Thursday,8:34:00 PM,#2533813,2762,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"upi : 128.69,",APP
3330,15-06-2023,Thursday,8:36:00 PM,#2533817,8964,iit - madras,IIT - Madras,Hotel Ananda,Sambar Vada (120gms),,NON_MRP,25,0,1,25,0,1.25,26.25,0,0,YES,DINE_IN,0,"upi : 26.25,",APP
3331,15-06-2023,Thursday,8:37:43 PM,#2533820,8860,iit - madras,IIT - Madras,Hotel Ananda,Paneer Butter Masala (350gms),,NON_MRP,137,0,1,137,0,6.85,143.85,0,0,YES,DINE_IN,0,"GPAY : 196.35,",POS
3332,15-06-2023,Thursday,8:37:43 PM,#2533820,8860,iit - madras,IIT - Madras,Hotel Ananda,Plain Naan (80gms),,NON_MRP,25,0,2,50,0,2.5,52.5,0,,YES,DINE_IN,0,,POS
3333,15-06-2023,Thursday,8:38:00 PM,#2533825,8051,iit - madras,IIT - Madras,Hotel Ananda,Kadai Paneer (350gms),,NON_MRP,119,0,1,119,0,5.95,124.95,15,0.01,YES,DELIVERY,11.8,"upi : 231.25,",APP
3334,15-06-2023,Thursday,8:38:00 PM,#2533825,8051,iit - madras,IIT - Madras,Hotel Ananda,Plain Naan (80gms),,NON_MRP,25,0,2,50,0,2.5,52.5,0,,YES,DELIVERY,0,,APP
3335,15-06-2023,Thursday,8:39:00 PM,#2533828,2325,iit - madras,IIT - Madras,Hotel Ananda,Gobi Masala(350gms),,NON_MRP,110,0,1,110,0,5.5,115.5,0,0,YES,DINE_IN,0,"upi : 408.45,",APP
3336,15-06-2023,Thursday,8:39:00 PM,#2533828,2325,iit - madras,IIT - Madras,Hotel Ananda,Mushroom Masala (200gms),,NON_MRP,63,0,1,63,0,3.15,66.15,0,,YES,DINE_IN,0,,APP
3337,15-06-2023,Thursday,8:39:00 PM,#2533828,2325,iit - madras,IIT - Madras,Hotel Ananda,Dhal Fry (350gms),,NON_MRP,109,0,1,109,0,5.45,114.45,0,,YES,DINE_IN,0,,APP
3338,15-06-2023,Thursday,8:39:00 PM,#2533828,2325,iit - madras,IIT - Madras,Hotel Ananda,Jeera Rice (400gms),,NON_MRP,107,0,1,107,0,5.35,112.35,0,,YES,DINE_IN,0,,APP
3339,15-06-2023,Thursday,8:39:23 PM,#2533829,4996,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,2,102,0,5.1,107.1,0,0,YES,DINE_IN,0,"GPAY : 201.3,",POS
3340,15-06-2023,Thursday,8:39:23 PM,#2533829,4996,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,,YES,DINE_IN,0,,POS
3341,15-06-2023,Thursday,8:41:00 PM,#2533837,7575,iit - madras,IIT - Madras,Hotel Ananda,Ghee Dosa (180gms),,NON_MRP,89,0,1,89,0,4.45,93.45,0,0,YES,DINE_IN,0,"upi : 93.45,",APP
3342,15-06-2023,Thursday,8:42:00 PM,#2533841,8820,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 53.55,",APP
3343,15-06-2023,Thursday,8:44:00 PM,#2533847,5178,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,4,88,0,4.4,92.4,0,0,YES,DINE_IN,0,"upi : 92.4,",APP
3344,15-06-2023,Thursday,8:50:47 PM,#2533880,4372,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"PAYTM : 117.69,",POS
3345,15-06-2023,Thursday,8:56:12 PM,#2533903,7414,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,2,102,0,5.1,107.1,25,0.01,YES,PICK_UP,0,"PHONEPE : 321.3,",POS
3346,15-06-2023,Thursday,8:56:12 PM,#2533903,7414,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,1,22,0,1.1,23.1,0,,YES,PICK_UP,0,,POS
3347,15-06-2023,Thursday,8:56:12 PM,#2533903,7414,iit - madras,IIT - Madras,Hotel Ananda,Chapathi 2 Pcs (51gms(each),,NON_MRP,51,0,1,51,0,2.55,53.55,0,,YES,PICK_UP,0,,POS
3348,15-06-2023,Thursday,8:56:12 PM,#2533903,7414,iit - madras,IIT - Madras,Hotel Ananda,Butter Masala Dosa (200gms),,NON_MRP,106,0,1,106,0,5.3,111.3,0,,YES,PICK_UP,0,,POS
3349,15-06-2023,Thursday,8:57:06 PM,#2533910,8220,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"CASH : 56.7,",POS
3350,15-06-2023,Thursday,8:58:43 PM,#2533919,2092,iit - madras,IIT - Madras,Hotel Ananda,Butter Naan (80gms),,NON_MRP,38,0,1,38,0,1.9,39.9,0,0,YES,DINE_IN,0,"GPAY : 174.3,",POS
3351,15-06-2023,Thursday,8:58:43 PM,#2533919,2092,iit - madras,IIT - Madras,Hotel Ananda,Kadai Veg (350gms),,NON_MRP,110,0,1,110,0,5.5,115.5,0,,YES,DINE_IN,0,,POS
3352,15-06-2023,Thursday,9:00:00 PM,#2533930,8363,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,2,44,0,2.2,46.2,0,0,YES,DINE_IN,0,"upi : 46.2,",APP
3353,15-06-2023,Thursday,9:02:00 PM,#2533937,2563,iit - madras,IIT - Madras,Hotel Ananda,Plain Naan (80gms),,NON_MRP,25,0,4,100,0,5,105,0,0,YES,DINE_IN,0,"upi : 214.0,",APP
3354,15-06-2023,Thursday,9:05:00 PM,#2533953,5888,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 195.55,",APP
3355,15-06-2023,Thursday,9:12:00 PM,#2533972,3080,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 192.53,",APP
3356,15-06-2023,Thursday,9:12:00 PM,#2533973,4629,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 53.55,",APP
3357,15-06-2023,Thursday,9:13:00 PM,#2533979,5080,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,2,108,0,5.4,113.4,10,0.01,YES,DELIVERY,11.8,"pay_later : 427.75,",APP
3358,15-06-2023,Thursday,9:15:54 PM,#2533989,7945,iit - madras,IIT - Madras,Hotel Ananda,Butter Roti (60gms),,NON_MRP,38,0,3,114,0,5.7,119.7,0,0,YES,DINE_IN,0,"GPAY : 824.96,",POS
3359,15-06-2023,Thursday,9:15:54 PM,#2533989,7945,iit - madras,IIT - Madras,Hotel Ananda,Aloo Gobi Masala (350gms),,NON_MRP,110,0,1,110,0,5.5,115.5,0,,YES,DINE_IN,0,,POS
3360,15-06-2023,Thursday,9:15:54 PM,#2533989,7945,iit - madras,IIT - Madras,Hotel Ananda,Jeera Rice (400gms),,NON_MRP,107,0,1,107,0,5.35,112.35,0,,YES,DINE_IN,0,,POS
3361,15-06-2023,Thursday,9:15:54 PM,#2533989,7945,iit - madras,IIT - Madras,Hotel Ananda,Dhal Fry (350gms),,NON_MRP,109,0,1,109,0,5.45,114.45,0,,YES,DINE_IN,0,,POS
